"dump_command"
"COPY (SELECT * FROM public.families) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.family_members) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.ingredients) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.shopping_list) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.purchase_history) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.dining_history) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.dining_items) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.purchase_items) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.daily_items) TO STDOUT WITH CSV HEADER;"
"COPY (SELECT * FROM public.dining_photos) TO STDOUT WITH CSV HEADER;"
